time_s,state,pir_val,temp_c,humidity,relay_fan,relay_led,relay_buzzer,relay_motor,cpu_temp_c,cpu_percent
0,IDLE,0,27.8,62.5,0,0,0,0,44.3,18.6
1,IDLE,0,28.0,61.2,0,0,0,0,44.8,3.1
2,IDLE,0,28.0,61.2,0,0,0,0,44.3,3.2
3,IDLE,0,28.0,61.3,0,0,0,0,44.8,2.8
4,IDLE,0,28.0,61.3,0,0,0,0,45.3,2.9
5,IDLE,0,28.0,61.2,0,0,0,0,45.3,3.2
6,IDLE,0,28.0,61.2,0,0,0,0,45.3,2.9
7,IDLE,0,28.0,61.2,0,0,0,0,45.8,2.9
8,IDLE,0,28.0,61.1,0,0,0,0,45.3,3.2
9,IDLE,0,28.0,61.2,0,0,0,0,44.3,2.7
10,IDLE,0,28.0,61.1,0,0,0,0,44.8,2.8
11,IDLE,0,28.1,61.1,0,0,0,0,44.8,3.1
12,IDLE,0,28.0,61.1,0,0,0,0,44.8,3.1
13,IDLE,0,28.0,61.1,0,0,0,0,45.8,3.3
14,IDLE,0,28.0,61.1,0,0,0,0,45.3,3.1
15,IDLE,0,28.1,61.1,0,0,0,0,44.8,3.2
16,IDLE,0,28.1,61.1,0,0,0,0,45.3,3.1
17,IDLE,0,28.1,61.0,0,0,0,0,44.8,3.2
18,IDLE,0,28.1,61.1,0,0,0,0,45.8,3.1
19,IDLE,0,28.1,61.1,0,0,0,0,46.3,3.1
20,IDLE,0,28.1,60.9,0,0,0,0,45.8,3.7
21,IDLE,0,28.1,61.0,0,0,0,0,46.3,3.1
22,IDLE,0,28.1,61.0,0,0,0,0,45.3,3.2
23,IDLE,0,28.1,61.0,0,0,0,0,45.3,3.0
24,IDLE,0,28.1,61.0,0,0,0,0,45.3,3.0
25,IDLE,0,28.2,60.9,0,0,0,0,46.3,3.3
26,IDLE,0,28.1,60.9,0,0,0,0,45.3,3.1
27,IDLE,0,28.1,60.9,0,0,0,0,44.3,3.1
28,IDLE,0,28.1,60.9,0,0,0,0,45.3,3.1
29,IDLE,0,28.1,60.9,0,0,0,0,45.8,3.1
30,IDLE,0,28.1,60.9,0,0,0,0,46.3,3.2
31,IDLE,0,28.2,60.9,0,0,0,0,45.3,3.2
32,IDLE,0,28.1,60.9,0,0,0,0,45.3,3.2
33,IDLE,0,28.1,60.9,0,0,0,0,44.3,2.8
34,IDLE,0,28.2,60.9,0,0,0,0,44.8,3.2
35,IDLE,0,28.1,60.9,0,0,0,0,45.3,3.2
36,IDLE,0,28.1,60.9,0,0,0,0,44.8,2.9
37,IDLE,0,28.2,60.9,0,0,0,0,45.8,3.0
38,IDLE,0,28.2,60.9,0,0,0,0,44.8,3.3
39,IDLE,0,28.1,60.8,0,0,0,0,45.8,3.0
40,PIR_CHECK,0,28.1,60.9,0,0,0,0,44.8,3.1
41,PIR_CHECK,1,28.1,60.8,0,0,0,0,44.3,4.1
42,PIR_CHECK,1,28.1,60.8,0,0,0,0,46.3,3.1
43,PIR_CHECK,1,28.1,60.8,0,0,0,0,45.3,3.3
44,PIR_CHECK,1,28.2,60.8,0,0,0,0,45.3,3.2
45,PIR_CHECK,1,28.1,60.8,0,0,0,0,45.8,3.3
46,PIR_CHECK,1,28.1,60.8,0,0,0,0,45.3,3.2
47,PIR_CHECK,1,28.1,60.8,0,0,0,0,44.3,3.2
48,PIR_CHECK,1,28.2,60.8,0,0,0,0,45.8,3.0
49,PIR_CHECK,1,28.2,60.7,0,0,0,0,45.8,3.3
50,PIR_CHECK,1,28.2,60.7,0,0,0,0,45.3,3.0
51,PIR_CHECK,1,28.1,60.7,0,0,0,0,46.3,3.3
52,PIR_CHECK,1,28.2,60.7,0,0,0,0,44.8,3.0
53,PIR_CHECK,1,28.2,60.7,0,0,0,0,45.8,3.1
54,PIR_CHECK,1,28.2,60.7,0,0,0,0,45.8,3.0
55,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.2
56,PIR_CHECK,1,28.2,60.7,0,0,0,0,43.8,3.2
57,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.0
58,PIR_CHECK,1,28.3,60.7,0,0,0,0,45.3,3.0
59,PIR_CHECK,1,28.2,60.6,0,0,0,0,45.8,3.4
60,PIR_CHECK,1,28.2,60.7,0,0,0,0,46.3,3.2
61,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.2
62,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.3
63,PIR_CHECK,1,28.2,60.6,0,0,0,0,45.3,2.9
64,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.3,2.9
65,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.3
66,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.3,2.9
67,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.0
68,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.3,3.3
69,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.4
70,PIR_CHECK,1,28.2,60.6,0,0,0,0,45.3,2.9
71,PIR_CHECK,1,28.2,60.7,0,0,0,0,44.3,3.3
72,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,2.8
73,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,2.9
74,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.3,3.3
75,PIR_CHECK,1,28.2,60.6,0,0,0,0,45.8,3.2
76,PIR_CHECK,1,28.2,60.5,0,0,0,0,44.3,2.9
77,PIR_CHECK,1,28.2,60.5,0,0,0,0,43.3,3.3
78,PIR_CHECK,1,28.2,60.6,0,0,0,0,44.8,3.0
79,PIR_CHECK,1,28.2,60.6,0,0,0,0,45.3,3.1
80,THERMAL_PREDICTION,1,28.2,60.5,0,1,0,0,43.8,3.1
81,THERMAL_PREDICTION,1,28.2,60.6,0,1,0,0,43.8,3.0
82,THERMAL_PREDICTION,0,28.1,60.6,0,1,0,0,44.3,2.7
83,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.8,3.3
84,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.8,2.7
85,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.8,2.7
86,THERMAL_PREDICTION,0,28.1,60.6,0,1,0,0,44.8,3.1
87,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.8,2.7
88,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,45.3,2.8
89,THERMAL_PREDICTION,0,28.2,60.5,0,1,0,0,45.3,3.2
90,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.8,2.7
91,THERMAL_PREDICTION,0,28.2,60.7,0,1,0,0,44.3,2.8
92,THERMAL_PREDICTION,0,28.2,60.7,0,1,0,0,44.3,3.1
93,THERMAL_PREDICTION,1,28.2,60.6,0,1,0,0,44.3,2.8
94,THERMAL_PREDICTION,1,28.2,60.6,0,1,0,0,43.8,2.7
95,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.3,3.2
96,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,2.7
97,THERMAL_PREDICTION,0,28.1,60.5,0,1,0,0,43.8,2.8
98,THERMAL_PREDICTION,0,28.2,60.7,0,1,0,0,44.8,3.0
99,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.8,2.8
100,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,2.8
101,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,3.1
102,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.8,2.8
103,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.3,2.7
104,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.8,3.1
105,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,2.8
106,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,2.7
107,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,3.0
108,THERMAL_PREDICTION,0,28.2,60.5,0,1,0,0,44.8,2.7
109,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,2.8
110,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.8,3.4
111,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.3,2.7
112,THERMAL_PREDICTION,0,28.1,60.6,0,1,0,0,44.8,2.8
113,THERMAL_PREDICTION,0,28.1,60.5,0,1,0,0,44.3,3.2
114,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,45.3,2.7
115,THERMAL_PREDICTION,0,28.1,60.6,0,1,0,0,44.3,2.8
116,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,43.8,3.2
117,THERMAL_PREDICTION,0,28.2,60.6,0,1,0,0,44.3,2.7
118,THERMAL_PREDICTION,0,28.1,60.6,0,1,0,0,43.8,2.8
119,THERMAL_PREDICTION,0,28.1,60.6,0,1,0,0,43.8,3.3
120,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.3,2.9
121,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,43.8,2.7
122,ACTUATOR_CONTROL,0,28.1,60.6,1,1,0,0,43.8,3.3
123,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,2.8
124,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,2.7
125,ACTUATOR_CONTROL,0,28.1,60.7,1,1,0,0,43.3,3.2
126,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.3,2.7
127,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,2.8
128,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.1
129,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,2.9
130,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,3.1
131,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,3.0
132,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,43.8,2.9
133,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,3.0
134,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.3,3.4
135,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,43.8,3.0
136,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.8,2.9
137,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.3,3.2
138,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,3.1
139,ACTUATOR_CONTROL,0,28.2,60.6,1,1,0,0,44.3,3.1
140,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,43.8,3.3
141,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,3.1
142,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.1
143,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,42.8,3.2
144,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,2.7
145,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,44.3,2.8
146,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.3
147,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,44.3,2.8
148,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,2.9
149,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,43.8,3.5
150,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,44.8,2.8
151,ACTUATOR_CONTROL,0,28.3,60.7,1,1,0,0,44.3,2.9
152,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.8,3.1
153,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,45.3,2.9
154,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,2.8
155,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,43.8,3.2
156,ACTUATOR_CONTROL,0,28.2,60.8,1,1,0,0,43.8,2.9
157,ACTUATOR_CONTROL,0,28.3,60.7,1,1,0,0,43.8,2.9
158,ACTUATOR_CONTROL,0,28.3,60.7,1,1,0,0,44.8,3.2
159,ACTUATOR_CONTROL,0,28.2,60.7,1,1,0,0,44.3,3.0
160,ALL_ON,0,28.2,60.7,1,1,0,0,44.3,3.0
161,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,3.3
162,ALL_ON,0,28.2,60.7,1,1,0,0,45.8,2.9
163,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,2.9
164,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,3.2
165,ALL_ON,0,28.3,60.7,1,1,0,0,43.8,3.1
166,ALL_ON,0,28.2,60.6,1,1,0,0,45.8,3.3
167,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,3.2
168,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,2.8
169,ALL_ON,0,28.2,60.7,1,1,0,0,44.8,3.1
170,ALL_ON,0,28.3,60.6,1,1,0,0,44.8,3.3
171,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,3.3
172,ALL_ON,0,28.2,60.6,1,1,0,0,44.3,3.4
173,ALL_ON,0,28.2,60.6,1,1,0,0,45.3,3.1
174,ALL_ON,0,28.3,60.7,1,1,0,0,44.8,3.4
175,ALL_ON,0,28.2,60.6,1,1,0,0,44.8,3.4
176,ALL_ON,0,28.3,60.7,1,1,0,0,45.3,4.2
177,ALL_ON,0,28.2,60.6,1,1,0,0,44.3,3.1
178,ALL_ON,0,28.3,60.6,1,1,0,0,44.8,3.1
179,ALL_ON,0,28.3,60.6,1,1,0,0,44.3,3.1
